"country","lon","lat"
"Curacao & St. Maarten",-68.99002,12.16957
"Bermuda",-64.7505,32.3078
"Austria",14.550072,47.516231
"Guernsey",-2.58949,49.4481982
"Finland",25.7481511,61.92411
"Cyprus",33.429859,35.126413
"Indonesia",113.921327,-0.789275
"Colombia",-74.297333,4.570868
"China, P.R.: Macao",113.543873,22.198745
"China, P.R.: Hong Kong",114.109497,22.396428
"Albania",20.168331,41.153332
"China, P.R.: Mainland",114.157569,22.282809
"Barbados",-59.543198,13.193887
"Honduras",-86.241905,15.199999
"Belarus",27.953389,53.709807
"Iceland",-19.020835,64.963051
"Bolivia",-63.588653,-16.290154
"France",2.213749,46.227638
"Gibraltar",-5.353585,36.140751
"Germany",10.451526,51.165691
"Bahrain, Kingdom of",50.5577,26.0667
"Egypt",30.802498,26.820553
"Greece",21.824312,39.074208
"Brazil",-51.92528,-14.235004
"India",78.96288,20.593684
"Costa Rica",-83.753428,9.748917
"Denmark",9.501785,56.26392
"Argentina",-63.616672,-38.416097
"Hungary",19.5033041,47.162494
"Australia",133.775136,-25.274398
"Canada",-106.346771,56.130366
"Bulgaria",25.48583,42.733883
"Estonia",25.0136071,58.595272
"Aruba",-69.968338,12.52111
"Belgium",4.469936,50.503887
"Czech Republic",15.472962,49.817492
"Chile",-71.542969,-35.675147
"Bangladesh",90.356331,23.684994
"Cayman Islands",-81.2546,19.3133
"Ireland",-7.6920536,53.1423672
"Romania",24.96676,45.943161
"Peru",-75.015152,-9.189967
"Kazakhstan",66.923684,48.019573
"Portugal",-8.224454,39.399872
"Latvia",24.603189,56.879635
"Slovak Republic",19.699024,48.669026
"Panama",-80.782127,8.537981
"Malta",14.375416,35.937496
"Lebanon",35.862285,33.854721
"Singapore",103.819836,1.352083
"Isle of Man",-4.548056,54.236107
"South Africa",22.937506,-30.559482
"Switzerland",8.227512,46.818188
"Mongolia",103.846656,46.862496
"Mauritius",57.552152,-20.348404
"Philippines",121.774017,12.879721
"Jersey",-2.13125,49.214439
"Kuwait",47.481766,29.31166
"Mexico",-102.552784,23.634501
"Norway",8.468946,60.472024
"Slovenia",14.995463,46.151241
"Pakistan",69.345116,30.375321
"Saudi Arabia",45.079162,23.885942
"Italy",12.56738,41.87194
"Malaysia",101.975766,4.210484
"Netherlands",5.291266,52.132633
"Poland",19.145136,51.919438
"Japan",138.252924,36.204824
"Luxembourg",6.129583,49.815273
"Spain",-3.74922,40.463667
"Russian Federation",105.318756,61.52401
"Kosovo, Republic of",20.902977,42.6026359
"Korea, Republic of",127.766922,35.907757
"Israel",34.851612,31.046051
"Sweden",18.643501,60.128161
"Lithuania",23.881275,55.169438
"Palau",134.58252,7.51498
"New Zealand",174.885971,-40.900557
"Liberia",-9.429499,6.428055
"Macedonia, FYR",21.745275,41.608635
"West Bank and Gaza",35.3027226,31.9465703
"United States",-95.712891,37.09024
"United Kingdom",-3.435973,55.378051
"Ukraine",31.1655799,48.379433
"Turkey",35.243322,38.963745
"Thailand",100.992541,15.870032
"Uruguay",-55.765835,-32.522779
"Venezuela, Republica Bolivariana de",-66.58973,6.42375
"Yemen, Republic of",48.516388,15.552727
"Nigeria",8.675277,9.081999
"Samoa",-172.104629,-13.759029
"Eritrea",39.782334,15.179384
"Trinidad and Tobago",-61.222503,10.691803
"Anguilla",-63.068615,18.220554
"Cook Islands",-159.777671,-21.236736
"Cabo Verde",-23.0418,16.5388
"Pitcairn Islands",-128.3242376,-24.3767537
"Sierra Leone",-11.779889,8.460555
"Nepal",84.124008,28.394857
"Vatican",12.453389,41.902916
"Kenya",37.906193,-0.023559
"Faroe Islands",-6.9118061,61.892635
"Uganda",32.290275,1.373333
"Uzbekistan",64.585262,41.377491
"Morocco",-7.09262,31.791702
"International Organizations",-117.8638,33.687843
"St. Kitts and Nevis",-62.782998,17.357822
"Mauritania",-10.940835,21.00789
"Mayotte",45.166244,-12.8275
"Mozambique",35.529562,-18.665695
"Somalia",46.199616,5.152149
"Guatemala",-90.230759,15.783471
"Serbia, Republic of",21.005859,44.016521
"Grenada",-61.679,12.1165
"Qatar",51.183884,25.354826
"World",-95.712891,37.09024
"Korea, Democratic People's Rep. of",127.510093,40.339852
"Fiji",178.065032,-17.713371
"French Territories: French Polynesia",-149.406843,-17.679742
"Armenia, Republic of",45.038189,40.069099
"French Territories: New Caledonia",165.618042,-20.904305
"South Sudan",31.3069788,6.8769919
"Togo",0.824782,8.619543
"Tunisia",9.537499,33.886917
"Vietnam",108.277199,14.058324
"Cuba",-77.781167,21.521757
"Suriname",-56.027783,3.919305
"Sint Maarten",-63.05483,18.04248
"Haiti",-72.285215,18.971187
"Georgia",-82.9000751,32.1656221
"Turks and Caicos Islands",-71.797928,21.694025
"Tuvalu",177.64933,-7.109535
"Dominican Republic",-70.162651,18.735693
"Ethiopia",40.489673,9.145
"Azerbaijan, Republic of",47.576927,40.143105
"Burkina Faso",-1.561593,12.238333
"Rwanda",29.873888,-1.940278
"Christmas Island",105.690449,-10.447525
"Andorra",1.521801,42.506285
"Eswatini, Kingdom of",31.465866,-26.522503
"Iraq",43.679291,33.223191
"St. Vincent and the Grenadines",-61.287228,12.984305
"Cote d'Ivoire",-5.54708,7.539989
"Liechtenstein",9.555373,47.166
"Kyrgyz Republic",74.766098,41.20438
"Guiana, French",-53.125782,3.933889
"Solomon Islands",160.156194,-9.64571
"Timor-Leste, Dem. Rep. of",125.727539,-8.874217
"Congo, Democratic Republic of",21.758664,-4.038333
"Tokelau Islands",-171.8484,-9.2002
"Zimbabwe",29.154857,-19.015438
"Myanmar",95.955974,21.916221
"Kiribati",-168.734039,-3.370417
"Montserrat",-62.187366,16.742498
"Guinea",-9.696645,9.945587
"Tanzania",34.888822,-6.369028
"Reunion",55.536384,-21.115141
"Saint Pierre and Miquelon",-56.3159,46.8852
"Dominica",-61.370976,15.414999
"Comoros",43.3333,-11.6455
"Seychelles",55.491977,-4.679574
"British Indian Ocean Territory",71.876519,-6.343194
"Cocos (Keeling) Islands",96.870956,-12.164165
"El Salvador",-88.89653,13.794185
"Lesotho",28.233608,-29.609988
"Algeria",1.659626,28.033886
"Belize",-88.49765,17.189877
"Botswana",24.684866,-22.328474
"American Samoa",-170.132217,-14.270972
"Ecuador",-78.183406,-1.831239
"Malawi",34.301525,-13.254308
"Cambodia",104.990963,12.565679
"Senegal",-14.452362,14.497401
"Vanuatu",166.959158,-15.376706
"Martinique",-61.024174,14.641528
"Libya",17.228331,26.3351
"Jordan",-97.3342624,37.9973704
"Mali",-3.996166,17.570692
"Bosnia and Herzegovina",17.679076,43.915886
"Lao People's Democratic Republic",102.495496,19.85627
"Brunei Darussalam",114.727669,4.535277
"Jamaica",-77.297508,18.109581
"Niger",8.081666,17.607789
"Angola",17.873887,-11.202692
"Marshall Islands, Republic of",171.184478,7.131474
"Namibia",18.49041,-22.95764
"Moldova",28.369885,47.411631
"Niue",-169.867233,-19.054445
"Greenland",-42.604303,71.706936
"Guyana",-58.93018,4.860416
"Guam",144.793731,13.444304
"Gabon",11.609444,-0.803689
"Falkland Islands",-59.523613,-51.796253
"Sri Lanka",80.771797,7.873054
"Benin",2.315834,9.30769
"Madagascar",46.869107,-18.766947
"Guadeloupe",-61.551,16.265
"United Arab Emirates",53.847818,23.424076
"Equatorial Guinea",10.267895,1.650801
"Sao Tome and Principe",6.613081,0.18636
"Nicaragua",-85.207229,12.865416
"Iran, Islamic Republic of",53.688046,32.427908
"US Virgin Islands",-64.896335,18.335765
"Wallis and Futuna",-178.1165,-14.2938
"Syrian Arab Republic",38.996815,34.802075
"Norfolk Island",167.954712,-29.040835
"Bonaire, Sint Eustatius and Saba",-68.2385339,12.1783611
"US Pacific Islands",-119.3134519,33.6349802
"Maldives",73.22068,3.202778
"Central African Republic",20.939444,6.611111
"St. Lucia",-60.978893,13.909444
"Ghana",-1.023194,7.946527
"Tonga",-175.198242,-21.178986
"Afghanistan, Islamic Republic of",67.709953,33.93911
"Western Sahara",-12.885834,24.215527
"Monaco",7.4246158,43.7384176
"Turkmenistan",59.556278,38.969719
"Congo, Republic of",15.827659,-0.228021
"Gambia, The",-15.310139,13.443182
"Croatia",15.2000001,45.1
"Curacao",-68.99002,12.16957
"French Southern Territories",69.3485571,-49.280366
"Bahamas, The",-77.39628,25.03428
"Burundi",29.918886,-3.373056
"Oman",55.975413,21.4735329
"Tajikistan",71.276093,38.861034
"Guinea-Bissau",-15.180413,11.803749
"Djibouti",42.590275,11.825138
"Montenegro",19.37439,42.708678
"Sudan",30.217636,12.862807
"Zambia",27.849332,-13.133897
"Papua New Guinea",143.95555,-6.314993
"Virgin Islands, British",-64.639968,18.420695
"San Marino",12.457777,43.94236
